title,platform,score,genre,release_year,release_month,Game_genre_rate,Prop_of_genre_on_platf,Mean_score_per_genre
Cassandro,On-Demand,7.0,Action,2023,9,1.017,0.833,6.4
Party Animals,PC,7.0,Fighting,2023,9,0.992,0.009,7.345
Party Animals,Xbox One,7.0,Fighting,2023,9,0.992,0.023,7.55
The Crew Motorfest,PC,7.0,Ubisoft,2023,9,0.985,0.005,7.336
The Crew Motorfest,Xbox One,7.0,Ubisoft,2023,9,0.985,0.032,6.961
Dune: Spice Wars,PC,9.0,PC,2023,11,1.225,0.009,7.247
Lies of P,PC,8.0,Action,2023,9,1.162,0.243,7.019
Lies of P,PlayStation 5,8.0,Action,2023,9,1.162,0.396,7.118
Lies of P,Xbox One,8.0,Action,2023,9,1.162,0.349,7.329
Lies of P,PlayStation 4,8.0,Action,2023,9,1.162,0.355,7.387
NBA 2K24,PlayStation 5,6.0,Sports,2023,9,0.853,0.076,6.545
Starfield,PC,7.0,RPG,2023,9,0.927,0.092,7.66
Trine 5: A Clockwork Conspiracy,Xbox Series X|S,8.0,Action,2023,8,1.162,0.402,6.639
Trine 5: A Clockwork Conspiracy,PC,8.0,Action,2023,8,1.162,0.243,7.019
Trine 5: A Clockwork Conspiracy,PlayStation 4,8.0,Action,2023,8,1.162,0.355,7.387
Trine 5: A Clockwork Conspiracy,Xbox One,8.0,Action,2023,8,1.162,0.349,7.329
Sea of Stars,Xbox One,8.0,RPG,2023,8,1.059,0.085,7.584
Sea of Stars,PC,8.0,RPG,2023,8,1.059,0.092,7.66
Sea of Stars,PlayStation 4,8.0,RPG,2023,8,1.059,0.096,7.513
Armored Core 6,PC,8.0,Action,2023,8,1.162,0.243,7.019
Armored Core 6,Xbox One,8.0,Action,2023,8,1.162,0.349,7.329
Armored Core 6,PlayStation 4,8.0,Action,2023,8,1.162,0.355,7.387
Madden NFL 24,PC,6.0,Sports,2023,8,0.853,0.053,7.0
Madden NFL 24,PlayStation 5,6.0,Sports,2023,8,0.853,0.076,6.545
Immortals of Aveum,PC,8.0,Action,2023,8,1.162,0.243,7.019
Immortals of Aveum,PlayStation 5,8.0,Action,2023,8,1.162,0.396,7.118
Baldur's Gate III,Macintosh,10.0,Dungeons and Dragons [D&D],2023,12,1.429,0.007,10.0
Baldur's Gate III,PC,10.0,Dungeons and Dragons [D&D],2023,12,1.429,0.0,7.0
Baldur's Gate III,Xbox Series X|S,10.0,Dungeons and Dragons [D&D],2023,12,1.429,0.008,10.0
Blasphemous 2,PlayStation 5,8.0,Action,2023,8,1.162,0.396,7.118
Blasphemous 2,PC,8.0,Action,2023,8,1.162,0.243,7.019
WrestleQuest,PlayStation 4,6.0,Wrestling,2023,8,0.858,0.008,7.1
WrestleQuest,iPhone,6.0,Wrestling,2023,8,0.858,0.002,4.25
WrestleQuest,Android,6.0,Wrestling,2023,8,0.858,0.012,6.0
WrestleQuest,Nintendo Switch,6.0,Wrestling,2023,8,0.858,0.017,6.0
WrestleQuest,PC,6.0,Wrestling,2023,8,0.858,0.002,6.543
WrestleQuest,Xbox One,6.0,Wrestling,2023,8,0.858,0.009,7.1
Gord,PC,4.0,RPG,2023,8,0.53,0.092,7.66
The Texas Chain Saw Massacre,PlayStation 4,6.0,Action,2023,8,0.871,0.355,7.387
The Texas Chain Saw Massacre,Xbox One,6.0,Action,2023,8,0.871,0.349,7.329
The Texas Chain Saw Massacre,PC,6.0,Action,2023,8,0.871,0.243,7.019
Moving Out 2,PC,8.0,Action,2023,8,1.162,0.243,7.019
Moving Out 2,PlayStation 4,8.0,Action,2023,8,1.162,0.355,7.387
Moving Out 2,PlayStation 5,8.0,Action,2023,8,1.162,0.396,7.118
Moving Out 2,Xbox One,8.0,Action,2023,8,1.162,0.349,7.329
Atomic Heart - Annihilation Instinct,Xbox One,6.0,Action,2023,8,0.871,0.349,7.329
Atomic Heart - Annihilation Instinct,PC,6.0,Action,2023,8,0.871,0.243,7.019
Atomic Heart - Annihilation Instinct,PlayStation 5,6.0,Action,2023,8,0.871,0.396,7.118
Atomic Heart - Annihilation Instinct,PlayStation 4,6.0,Action,2023,8,0.871,0.355,7.387
Atlas Fallen,PC,7.0,Action,2023,8,1.017,0.243,7.019
