title,platform,score,genre,release_year,release_month
Like a Dragon: Infinite Wealth,PC,9,Action,2024,1
Like a Dragon: Infinite Wealth,Xbox One,9,Action,2024,1
Turnip Boy Robs a Bank,Xbox Series X|S,8,PC,2024,1
Turnip Boy Robs a Bank,PC,8,PC,2024,1
Prince of Persia: The Lost Crown,Nintendo Switch,8,Ubisoft,2024,1
Prince of Persia: The Lost Crown,PlayStation 4,8,Ubisoft,2024,1
Prince of Persia: The Lost Crown,Xbox One,8,Ubisoft,2024,1
Supernormal,PC,6,Action,2024,1
Fortnite: Rocket Racing,Android,6,Racing,2023,12
Fortnite: Rocket Racing,Xbox One,6,Racing,2023,12
Fortnite: Rocket Racing,PlayStation 4,6,Racing,2023,12
Fortnite: Rocket Racing,PC,6,Racing,2023,12
Fortnite: Rocket Racing,Xbox Series X|S,6,Racing,2023,12
Fortnite: Rocket Racing,Macintosh,6,Racing,2023,12
Silent Hill: Ascension,iPhone,5,Adventure,2023,10
Silent Hill: Ascension,PC,5,Adventure,2023,10
Silent Hill: Ascension,iPad,5,Adventure,2023,10
Silent Hill: Ascension,Android,5,Adventure,2023,10
The Finals,PC,8,PC,2023,12
Warhammer 40K: Rogue Trader,Macintosh,8,RPG,2023,12
Warhammer 40K: Rogue Trader,PC,8,RPG,2023,12
Warhammer 40K: Rogue Trader,PlayStation 5,8,RPG,2023,12
Resident Evil 4,PC,8,Action,2023,12
Resident Evil 4,PlayStation 4,8,Action,2023,12
Resident Evil 4,Xbox Series X|S,8,Action,2023,12
Resident Evil 4,iPad,8,Action,2023,12
Resident Evil 4,Macintosh,8,Action,2023,12
Granblue Fantasy Versus: Rising,PlayStation 4,9,Fighting,2023,12
Granblue Fantasy Versus: Rising,PC,9,Fighting,2023,12
Cookie Cutter,PC,7,Action,2023,12
Cookie Cutter,Xbox Series X|S,7,Action,2023,12
House Flipper 2,PlayStation 5,7,PC,2049,12
Fortnite Festival,PC,4,Music,2023,12
Fortnite Festival,Xbox One,4,Music,2023,12
Fortnite Festival,PlayStation 4,4,Music,2023,12
Fortnite Festival,Xbox Series X|S,4,Music,2023,12
Fortnite Festival,Macintosh,4,Music,2023,12
Fortnite Festival,Android,4,Music,2023,12
Asgard’s Wrath 2,Meta Quest Pro,10,RPG,2023,12
LEGO Fortnite,Xbox One,7,Action,2023,12
LEGO Fortnite,PlayStation 5,7,Action,2023,12
LEGO Fortnite,Android,7,Action,2023,12
LEGO Fortnite,Macintosh,7,Action,2023,12
LEGO Fortnite,PlayStation 4,7,Action,2023,12
LEGO Fortnite,PC,7,Action,2023,12
The Day Before,PC,1,Action,2023,12
Sonic Dream Team,iPod,8,SEGA,2023,12
Sonic Dream Team,iPhone,8,SEGA,2023,12
Sonic Dream Team,Macintosh,8,SEGA,2023,12
The Anacrusis,Xbox One,4,PC,2022,1
Avatar: Frontiers of Pandora,Xbox Series X|S,7,Ubisoft,2023,12
Arizona Sunshine II,PC,8,PC,2023,12
Lethal Company,PC,7,Action,2023,10
The Walking Dead: Destinies,PC,2,Action,2023,11
The Walking Dead: Destinies,Xbox One,2,Action,2023,11
The Walking Dead: Destinies,PlayStation 4,2,Action,2023,11
The Walking Dead: Destinies,Xbox Series X|S,2,Action,2023,11
SteamWorld Build,PlayStation 4,7,PlayStation 4,2023,12
SteamWorld Build,PC,7,PlayStation 4,2023,12
SteamWorld Build,PlayStation 5,7,PlayStation 4,2023,12
Bluey: The Videogame,PC,4,Adventure,2023,11
Bluey: The Videogame,Xbox One,4,Adventure,2023,11
Bluey: The Videogame,PlayStation 4,4,Adventure,2023,11
Flashback 2,PlayStation 5,2,Sci-Fi,2024,9
Flashback 2,PlayStation 4,2,Sci-Fi,2024,9
Flashback 2,Xbox One,2,Sci-Fi,2024,9
Naruto x Boruto Ultimate Ninja Storm Connections,Xbox Series X|S,5,Bandai Namco Games,2023,11
Naruto x Boruto Ultimate Ninja Storm Connections,Xbox One,5,Bandai Namco Games,2023,11
Naruto x Boruto Ultimate Ninja Storm Connections,PC,5,Bandai Namco Games,2023,11
Assassin's Creed Nexus VR,PC,7,Ubisoft,2049,12
The Last Faith,Xbox One,7,Action,2023,11
The Last Faith,Macintosh,7,Action,2023,11
The Last Faith,PlayStation 5,7,Action,2023,11
The Last Faith,PC,7,Action,2023,11
The Last Faith,PlayStation 4,7,Action,2023,11
Persona 5 Tactica,PlayStation 4,8,SEGA,2023,11
Persona 5 Tactica,PC,8,SEGA,2023,11
Persona 5 Tactica,Xbox Series X|S,8,SEGA,2023,11
My Time at Sandrock,Xbox One,8,RPG,2024,12
My Time at Sandrock,PC,8,RPG,2024,12
My Time at Sandrock,PlayStation 5,8,RPG,2024,12
My Time at Sandrock,PlayStation 4,8,RPG,2024,12
For the King 2,PC,6,Adventure,2023,11
Nickelodeon All-Star Brawl 2,PC,9,Action,2023,11
Nickelodeon All-Star Brawl 2,PlayStation 4,9,Action,2023,11
Nickelodeon All-Star Brawl 2,Xbox Series X|S,9,Action,2023,11
Nickelodeon All-Star Brawl 2,Xbox One,9,Action,2023,11
EA Sports WRC,PlayStation 5,6,Racing,2023,11
EA Sports WRC,PC,6,Racing,2023,11
Like a Dragon Gaiden,PC,7,Action,2023,11
Like a Dragon Gaiden,Xbox Series X|S,7,Action,2023,11
Like a Dragon Gaiden,PlayStation 4,7,Action,2023,11
Like a Dragon Gaiden,Xbox One,7,Action,2023,11
The Talos Principle 2,PC,8,Adventure,2023,11
The Invincible,PC,5,Sci-Fi,2023,11
Thirsty Suitors,Nintendo Switch,8,Adventure,2023,11
Thirsty Suitors,PC,8,Adventure,2023,11
Thirsty Suitors,PlayStation 4,8,Adventure,2023,11
Thirsty Suitors,Xbox One,8,Adventure,2023,11
Quantum Error,Xbox Series X|S,5,Horror,2049,12
Quantum Error,PlayStation 4,5,Horror,2049,12
Dead Island 2: Haus,PC,6,Action,2023,11
Dead Island 2: Haus,Xbox One,6,Action,2023,11
Dead Island 2: Haus,PlayStation 4,6,Action,2023,11
UFC 5,PlayStation 5,9,Sports,2023,10
The Lord of the Rings: Return to Moria,PC,4,Action,2024,12
The Lord of the Rings: Return to Moria,Xbox Series X|S,4,Action,2024,12
Alan Wake 2,PC,9,Action,2023,10
Stray Souls,Xbox One,4,Adventure,2023,10
Stray Souls,PlayStation 4,4,Adventure,2023,10
Stray Souls,PC,4,Adventure,2023,10
Ghostrunner 2,PC,9,Action,2023,10
Cities: Skylines II,PlayStation 5,6,PC,2024,12
Laika,PC,9,Action,2024,1
Laika,Xbox One,9,Action,2024,1
Laika,PlayStation 4,9,Action,2024,1
Laika,Nintendo Switch,9,Action,2024,1
Hellboy Web of Wyrd,Xbox One,6,Action,2023,10
Hellboy Web of Wyrd,PC,6,Action,2023,10
Hellboy Web of Wyrd,PlayStation 4,6,Action,2023,10
Hellboy Web of Wyrd,PlayStation 5,6,Action,2023,10
Skull Island: Rise of Kong,Xbox One,3,Action,2023,10
Skull Island: Rise of Kong,PC,3,Action,2023,10
Skull Island: Rise of Kong,PlayStation 5,3,Action,2023,10
Skull Island: Rise of Kong,PlayStation 4,3,Action,2023,10
Mortal Kombat Legends: Cage Match,On-Demand,6,Action,2023,10
Wizard With a Gun,PC,6,PC,2049,12
